电影名,上映年份,上映时间,电影标签,电影时长,电影评分,电影语言,导演,作者,电影简介,电影 slogan
American History X,1998,,Drama,119,83,"$20,000,000.00",Tony Kaye,David McKenna,"Derek Vineyard is paroled after serving 3 years in prison for killing two African-American men. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",Some legacies must end.
Back to the Future,1985,,Adventure,116,83,"$19,000,000.00",Robert Zemeckis,Bob Gale,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",He was never in time for his classes... He wasn't in time for his dinner... Then one day... he wasn't in his time at all.
Radical,2023,,Drama,125,83,"$10,000,000.00",Christopher Zalla,,"In a Mexican border town plagued by neglect, corruption, and violence, a frustrated teacher tries an unorthodox new method to break through his students’ apathy and unlock their curiosity, their potential... and perhaps even their genius.",Think for yourself.
Princess Mononoke,1997,,Adventure,134,83,Japanese,Hayao Miyazaki,,"Ashitaka, a prince of the disappearing Emishi people, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.",The fate of the world rests on the courage of one warrior.
Stop Making Sense,1984,,Documentary,88,83,"$1,200,000.00",Jonathan Demme,,"A concert film documenting Talking Heads at the height of their popularity, on tour for their 1983 album ""Speaking in Tongues."" The band takes the stage one by one and is joined by a cadre of guest musicians for a career-spanning and cinematic performance that features creative choreography and visuals.",Why stop making sense? Why a movie? Why a big suit? Where do the odd movements come from? What will the band do next?
Ennio,2022,,Documentary,156,83,-,Giuseppe Tornatore,,"A portrait of Ennio Morricone, the most popular and prolific film composer of the 20th century, the one most loved by the international public, a two-time Oscar winner and the author of over five hundred unforgettable scores.",Overview
The Wild Robot,2024,,Family,102,83,"$78,000,000.00",Chris Sanders,,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",Discover your true nature.
Ikiru,1952,,Drama,143,83,Japanese,Akira Kurosawa,Hideo Oguni,"Kanji Watanabe is a middle-aged man who has worked in the same monotonous bureaucratic position for decades. Learning he has cancer, he starts to look for the meaning of his life.",A big story of a little man which will grip your soul...
The Legend of Hei,2019,,Animation,102,83,Chinese,MTJJ,Kexin Peng,"When cat spirit Luo Xiaohei's home is deforested by humans, he must find a new one. He runs into a group of other spirit creatures who take him under their wing with dreams of reconquering the land they say is rightfully theirs. However, they run into a human known as Wuxian who separates Luo Xiaohei from the other spirits and the two go on a journey, with the cat spirit learning to control his abilities as well as forming his own thoughts on whether or not he should ally with the spirits or the humans.",One Small Spirit Will Determine the Fate of the World.
Perfect Blue,1998,,Animation,82,83,Japanese,Satoshi Kon,Yoshikazu Takeuchi,"Rising pop star Mima quits singing to pursue a career as an actress. After she takes up a role on a popular detective show, her handlers and collaborators begin turning up murdered. Harboring feelings of guilt and haunted by visions of her former self, Mima's reality and fantasy meld into a frenzied paranoia.","""excuse me... who are you?"""
Dead Poets Society,1989,,Drama,129,83,"$16,400,000.00",Peter Weir,Tom Schulman,"At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.",He was their inspiration. He made their lives extraordinary.
Bring the Soul: The Movie,2019,,Music,105,83,Korean,Park Jun-soo,,"A glimpse into K-pop group BTS’ world away from the stage, featuring intimate group discussions alongside spectacular concert performances from their world tour.","Forever, we are young."
Léon: The Professional,1994,,Crime,111,83,French,Luc Besson,,"Léon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps.","If you want the job done right, hire a professional."
